hospital_name,hospital_city,hospital_state,hospital_address,procedure_category,procedure_name,cpt_code,payer,plan,negotiated_dollar,discounted_cash,gross_charge,setting,billing_class
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,CT Head / Brain,CT Head/Brain (w/o contrast),70450,BLUE CROSS - NY (EXCELLUS),HIGHMARK BCBS,424.86,882.05,1357.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,MRI Spine (Lumbar),MRI Lumbar Spine (w/ contrast),72149,BLUE CROSS - FL,HIGHMARK BCBS,1205.51,2468.7,3798.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,Ultrasound Abdomen,Ultrasound Abdomen (limited),76705,BLUE CROSS - TX,HIGHMARK BCBS,367.95,880.75,1355.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,CBC Blood Panel,CBC Blood Panel (automated),85027,WC CORVEL,WC CORVEL CORPORATION,83.6,57.2,88.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,MRI Knee / Joint,MRI Knee/Joint (w/o & w/ contrast),73723,BLUE CROSS - PA (INDEPENDENCE) MEDICARE ADVANTAGE,INDEPENDENCE BLUE CROSS MEDICARE ADV,373.65,2639.65,4061.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,MRI Spine (Thoracic),MRI Thoracic Spine (w/ contrast),72147,BLUE CROSS - RI,HIGHMARK BCBS,1221.78,1706.9,2626.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,MRI Knee / Joint,MRI Knee/Joint (w/ contrast),73722,BLUE CROSS - IN (ANTHEM),HIGHMARK BCBS,1532.81,2351.05,3617.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,CBC Blood Panel,CBC Blood Panel (automated),85027,BLUE DISTINCTION TRANSPLANT,HIGHMARK BCBS,41.6,57.2,88.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,MRI Spine (Lumbar),MRI Lumbar Spine (w/o contrast),72148,AETNA,AETNA,1876.0,1612.65,2481.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,CBC Blood Panel,CBC Blood Panel (automated w/ diff),85025,BLUE CROSS - AK (PREMERA),HIGHMARK BCBS,49.96,1048.94,1613.75,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,MRI Spine (Lumbar),MRI Lumbar Spine (w/ contrast),72149,BLUE CROSS - PA (INDEPENDENCE),INDEPENDENCE BLUE CROSS,,2468.7,3798.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,CBC Blood Panel,CBC Blood Panel (automated),85027,BLUE CROSS - VT,HIGHMARK BCBS,41.6,57.2,88.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,CT Abdomen & Pelvis,CT Abdomen & Pelvis (w/o & w/ contrast),74178,BLUE CROSS - WA (PREMERA),HIGHMARK BCBS,1591.78,3892.85,5989.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,Chest X-Ray,Chest X-Ray (1 view),71045,BLUE CROSS - FEDERAL,HIGHMARK BCBS,6109.14,18779.47,28891.5,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,Chest X-Ray,Chest X-Ray (1 view),71045,GALAXY HEALTH NETWORK,GALAXY HEALTH NETWORK,,9922.38,15265.2,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,MRI Spine (Lumbar),MRI Lumbar Spine (w/ contrast),72149,BLUE CROSS - VA (CAREFIRST),HIGHMARK BCBS,1205.51,2468.7,3798.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,Chest X-Ray,Chest X-Ray (1 view),71045,AMERIHEALTH,INDEPENDENCE BLUE CROSS,138.0,89.7,138.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,MRI Knee / Joint,MRI Knee/Joint (w/o contrast),73721,BLUE CROSS - PA (CAPITAL),HIGHMARK BCBS,892.41,2258.75,3475.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,CT Abdomen & Pelvis,CT Abdomen & Pelvis (w/o & w/ contrast),74178,ALT PAYOR CV MEDPRO,HIGHMARK BCBS,1591.78,3892.85,5989.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,MRI Spine (Lumbar),MRI Lumbar Spine (w/ contrast),72149,AETNA MEDICARE ADVANTAGE,AETNA MEDICARE ADVANTAGE,373.65,2468.7,3798.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,CT Abdomen & Pelvis,CT Abdomen & Pelvis (w/o contrast),74176,BLUE CROSS - WY,HIGHMARK BCBS,652.49,2068.3,3182.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,MRI Spine (Cervical),MRI Cervical Spine (w/o contrast),72141,BLUE CROSS - PA (INDEPENDENCE) MEDICARE ADVANTAGE,INDEPENDENCE BLUE CROSS MEDICARE ADV,252.9,1612.65,2481.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,CT Abdomen & Pelvis,CT Abdomen & Pelvis (w/o contrast),74176,BLUE BENEFIT ADMINISTRATORS OF MASSACHUSETTS,HIGHMARK BCBS,652.49,2068.3,3182.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,CT Chest,CT Chest (w/o & w/ contrast),71270,DEVOTED HEALTH MEDICARE ADVANTAGE,DEVOTED HEALTH MEDICARE ADVANTAGE,186.26,1708.85,2629.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,MRI Spine (Thoracic),MRI Thoracic Spine (w/o contrast),72146,COVENTRY,COVENTRY ADVANTRA MEDICARE ADVANTAGE,252.9,1612.65,2481.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,MRI Spine (Cervical),MRI Cervical Spine (w/o contrast),72141,BLUE CROSS - OK,HIGHMARK BCBS,780.59,1612.65,2481.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,Chest X-Ray,Chest X-Ray (1 view),71045,AETNA MEDICARE ADVANTAGE,AETNA MEDICARE ADVANTAGE,3293.1,18779.47,28891.5,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,Chest X-Ray,Chest X-Ray (1 view),71045,BLUE CROSS - PA (INDEPENDENCE) MEDICARE ADVANTAGE,INDEPENDENCE BLUE CROSS MEDICARE ADV,92.12,89.7,138.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,CT Head / Brain,CT Head/Brain (w/ contrast),70460,BLUE CROSS - VT,HIGHMARK BCBS,607.8,1244.75,1915.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,Ultrasound Abdomen,Ultrasound Abdomen (limited),76705,CIGNA,CIGNA,838.75,880.75,1355.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,Chest X-Ray,Chest X-Ray (1 view),71045,BLUE CROSS - MA,HIGHMARK BCBS,105.65,89.7,138.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,CT Head / Brain,CT Head/Brain (w/o contrast),70450,MULTIPLAN,MULTIPLAN,1289.15,882.05,1357.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,CBC Blood Panel,CBC Blood Panel (automated),85027,HIGHMARK HEALTH OPTIONS DUAL PLAN,HIGHMARK MEDICARE ADVANTAGE,6.47,1141.73,1756.51,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,CT Abdomen & Pelvis,CT Abdomen & Pelvis (w/o contrast),74176,SAINT FRANCIS LIFE,ST FRANCIS LIFE PACE,252.9,2068.3,3182.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,Ultrasound Abdomen,Ultrasound Abdomen (limited),76705,BLUE CROSS - VT,HIGHMARK BCBS,367.95,880.75,1355.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,MRI Knee / Joint,MRI Knee/Joint (w/o & w/ contrast),73723,HIGHMARK HEALTH OPTIONS DUAL PLAN,HIGHMARK MEDICARE ADVANTAGE,373.65,2639.65,4061.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,MRI Knee / Joint,MRI Knee/Joint (w/o & w/ contrast),73723,PACE-TRINITY HEALTH,ST FRANCIS LIFE PACE,373.65,2639.65,4061.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,CT Chest,CT Chest (w/o contrast),71250,CIGNA MEDICARE ADVANTAGE,CIGNA HEALTHSPRING MEDICARE ADVANTAGE,111.26,1105.0,1700.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,Ultrasound Pelvis,Ultrasound Pelvis (complete),76856,BLUE SHIELD - NY HIGHMARK NORTHEASTERN,HIGHMARK BCBS,447.23,824.85,1269.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,MRI Spine (Thoracic),MRI Thoracic Spine (w/o contrast),72146,BLUE CROSS - MO (ANTHEM),HIGHMARK BCBS,780.59,1612.65,2481.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,CT Head / Brain,CT Head/Brain (w/o contrast),70450,BLUE CROSS - GA (ANTHEM),HIGHMARK BCBS,424.86,882.05,1357.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,MRI Knee / Joint,MRI Knee/Joint (w/o & w/ contrast),73723,BLUE CROSS - NY (ANTHEM),HIGHMARK BCBS,1847.84,2639.65,4061.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,CBC Blood Panel,CBC Blood Panel (automated),85027,BLUE SHIELD - NY HIGHMARK WESTERN,HIGHMARK BCBS,41.6,57.2,88.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,Chest X-Ray,Chest X-Ray (1 view),71045,BLUE CROSS - DE (HIGHMARK),HIGHMARK BCBS,6109.14,18779.47,28891.5,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,MRI Spine (Lumbar),MRI Lumbar Spine (w/o contrast),72148,BLUE CARE NETWORK,HIGHMARK BCBS,784.64,1612.65,2481.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,MRI Knee / Joint,MRI Knee/Joint (w/o contrast),73721,BLUE CROSS - NE,HIGHMARK BCBS,892.41,3388.45,5213.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,CBC Blood Panel,CBC Blood Panel (automated w/ diff),85025,BLUE CROSS - MN,HIGHMARK BCBS,49.96,1048.94,1613.75,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,CT Abdomen & Pelvis,CT Abdomen & Pelvis (w/ contrast),74177,BLUE CROSS - MD (CAREFIRST),HIGHMARK BCBS,1410.83,3236.35,4979.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,CT Abdomen & Pelvis,CT Abdomen & Pelvis (w/o contrast),74176,GALAXY HEALTH NETWORK,GALAXY HEALTH NETWORK,3022.9,2068.3,3182.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,CT Abdomen & Pelvis,CT Abdomen & Pelvis (w/o & w/ contrast),74178,ALLWELL PA HEALTH & WELLNESS MEDICARE ADVANTAGE,PA HEALTH & WELLNESS MEDICARE ADVANTAGE,373.65,3892.85,5989.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,Ultrasound Pelvis,Ultrasound Pelvis (complete),76856,BLUE CROSS - TN,HIGHMARK BCBS,447.23,824.85,1269.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,MRI Spine (Cervical),MRI Cervical Spine (w/o & w/ contrast),72156,BLUE CROSS - ME (ANTHEM),HIGHMARK BCBS,1376.17,2496.0,3840.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,Chest X-Ray,Chest X-Ray (1 view),71045,BLUE CROSS - MN,HIGHMARK BCBS,211.3,9922.38,15265.2,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,CT Chest,CT Chest (w/ contrast),71260,BLUE CROSS - OK,HIGHMARK BCBS,717.57,1577.55,2427.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,Ultrasound Abdomen,Ultrasound Abdomen (complete),76700,BLUE CROSS - IL,HIGHMARK BCBS,481.77,930.15,1431.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,MRI Abdomen,MRI Abdomen (w/ contrast),74182,BLUE CROSS - MI,HIGHMARK BCBS,1433.08,1137.5,1750.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,MRI Knee / Joint,MRI Knee/Joint (w/o & w/ contrast),73723,ALT PAYOR CV MEDPRO,HIGHMARK BCBS,1847.84,3959.8,6092.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,MRI Spine (Thoracic),MRI Thoracic Spine (w/o contrast),72146,BLUE CROSS - CO (ANTHEM),HIGHMARK BCBS,780.59,1612.65,2481.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,Ultrasound Abdomen,Ultrasound Abdomen (limited),76705,THREE RIVERS PROVIDER NETWORK,THREE RIVERS,,880.75,1355.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,CT Head / Brain,CT Head/Brain (w/o contrast),70450,BLUE CROSS - IA (WELLMARK),HIGHMARK BCBS,424.86,882.05,1357.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,CT Abdomen & Pelvis,CT Abdomen & Pelvis (w/o contrast),74176,CIGNA,CIGNA,,2068.3,3182.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,MRI Spine (Lumbar),MRI Lumbar Spine (w/o & w/ contrast),72158,ALT PAYOR CV MEDPRO,HIGHMARK BCBS,1372.12,2496.0,3840.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,MRI Knee / Joint,MRI Knee/Joint (w/o & w/ contrast),73723,GALAXY HEALTH NETWORK,GALAXY HEALTH NETWORK,5787.4,3959.8,6092.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,CT Head / Brain,CT Head/Brain (w/ contrast),70460,BLUE CROSS - PA (INDEPENDENCE),INDEPENDENCE BLUE CROSS,,1244.75,1915.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,Ultrasound Pelvis,Ultrasound Pelvis (limited),76857,BLUE CROSS - CT (ANTHEM),HIGHMARK BCBS,154.46,257.4,396.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,MRI Brain,MRI Brain (w/ contrast),70552,BLUE CROSS - CT (ANTHEM),HIGHMARK BCBS,1205.38,1687.4,2596.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,Chest X-Ray,Chest X-Ray (2 views),71046,DEVON HEALTH SERVICES,DEVON HEALTH SERVICE,371.45,254.15,391.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,Ultrasound Abdomen,Ultrasound Abdomen (limited),76705,UNITED HEALTHCARE,UNITED HEALTHCARE,,880.75,1355.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,MRI Knee / Joint,MRI Knee/Joint (w/o & w/ contrast),73723,BLUE SHIELD - DE (HIGHMARK) MEDCIARE ADVANTAGE,HIGHMARK MEDICARE ADVANTAGE,373.65,3959.8,6092.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,CT Head / Brain,CT Head/Brain (w/o contrast),70450,BLUE CROSS - NE,HIGHMARK BCBS,424.86,882.05,1357.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,CT Chest,CT Chest (w/o contrast),71250,BLUE CROSS - MT,HIGHMARK BCBS,528.51,1105.0,1700.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,CBC Blood Panel,CBC Blood Panel (automated w/ diff),85025,BLUE CROSS - DC (CAREFIRST),HIGHMARK BCBS,49.96,1048.94,1613.75,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,CT Chest,CT Chest (w/o & w/ contrast),71270,BLUE SHIELD - PA (HIGHMARK),HIGHMARK BCBS,884.24,1708.85,2629.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,Ultrasound Abdomen,Ultrasound Abdomen (complete),76700,BLUE CROSS - VT,HIGHMARK BCBS,481.77,930.15,1431.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,CT Chest,CT Chest (w/o contrast),71250,BLUE CROSS - PA (CAPITAL),HIGHMARK BCBS,528.51,1105.0,1700.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,CT Abdomen & Pelvis,CT Abdomen & Pelvis (w/ contrast),74177,BLUE SHIELD - PA (HIGHMARK),HIGHMARK BCBS,1410.83,3236.35,4979.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,CBC Blood Panel,CBC Blood Panel (automated),85027,BLUE BENEFIT ADMINISTRATORS OF MASSACHUSETTS,HIGHMARK BCBS,41.6,1141.73,1756.51,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,MRI Knee / Joint,MRI Knee/Joint (w/o contrast),73721,AMERIHEALTH MEDICARE,AMERIHEALTH CARITAS MEDICARE ADVANTAGE,252.9,2258.75,3475.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,Chest X-Ray,Chest X-Ray (1 view),71045,BLUE CROSS - MI,HIGHMARK BCBS,211.3,9922.38,15265.2,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,MRI Spine (Cervical),MRI Cervical Spine (w/ contrast),72142,BLUE CROSS - GA (ANTHEM),HIGHMARK BCBS,1233.99,1526.85,2349.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,MRI Spine (Thoracic),MRI Thoracic Spine (w/o contrast),72146,BLUE SHIELD - DE (HIGHMARK) MEDCIARE ADVANTAGE,HIGHMARK MEDICARE ADVANTAGE,252.9,1612.65,2481.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,CT Head / Brain,CT Head/Brain (w/o contrast),70450,BLUE CROSS - IL ALTERNATE,HIGHMARK BCBS,424.86,882.05,1357.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,MRI Abdomen,MRI Abdomen (w/ contrast),74182,BLUE CROSS - PA (CAPITAL),HIGHMARK BCBS,1433.08,1137.5,1750.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,MRI Knee / Joint,MRI Knee/Joint (w/ contrast),73722,BLUE CROSS - ID,HIGHMARK BCBS,1532.81,2351.05,3617.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,CBC Blood Panel,CBC Blood Panel (automated),85027,AETNA MEDICARE ADVANTAGE,AETNA MEDICARE ADVANTAGE,6.85,1141.73,1756.51,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,MRI Knee / Joint,MRI Knee/Joint (w/o contrast),73721,BLUE CROSS - NJ (HORIZON),HIGHMARK BCBS,892.41,2258.75,3475.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,CBC Blood Panel,CBC Blood Panel (automated),85027,BLUE CROSS - NM,HIGHMARK BCBS,41.6,57.2,88.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,MRI Knee / Joint,MRI Knee/Joint (w/o & w/ contrast),73723,BLUE CROSS - UT (REGENCE),HIGHMARK BCBS,1847.84,2639.65,4061.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,CT Head / Brain,CT Head/Brain (w/o contrast),70450,BLUE CROSS - WY,HIGHMARK BCBS,424.86,882.05,1357.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,MRI Abdomen,MRI Abdomen (w/o & w/ contrast),74183,TRUSTMARK SMALL BUSINESS BENEFITS,AETNA,1876.0,2434.9,3746.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,CT Head / Brain,CT Head/Brain (w/o contrast),70450,DEVON HEALTH SERVICES,DEVON HEALTH SERVICE,1289.15,882.05,1357.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,Chest X-Ray,Chest X-Ray (1 view),71045,WC CORVEL,WC CORVEL CORPORATION,,9922.38,15265.2,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,MRI Knee / Joint,MRI Knee/Joint (w/ contrast),73722,BLUE CROSS - NH (ANTHEM),HIGHMARK BCBS,1532.81,2351.05,3617.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,CT Abdomen & Pelvis,CT Abdomen & Pelvis (w/o contrast),74176,BLUE CROSS - NY (ANTHEM),HIGHMARK BCBS,652.49,2068.3,3182.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,MRI Brain,MRI Brain (w/o & w/ contrast),70553,PACE-TRINITY HEALTH,ST FRANCIS LIFE PACE,373.65,2497.3,3842.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,MRI Knee / Joint,MRI Knee/Joint (w/ contrast),73722,BLUE CROSS - OK,HIGHMARK BCBS,1532.81,2351.05,3617.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,Ultrasound Abdomen,Ultrasound Abdomen (complete),76700,BLUE CROSS - NV (ANTHEM),HIGHMARK BCBS,481.77,930.15,1431.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,MRI Knee / Joint,MRI Knee/Joint (w/o & w/ contrast),73723,BLUE CROSS - MO (ANTHEM),HIGHMARK BCBS,1847.84,2639.65,4061.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,CBC Blood Panel,CBC Blood Panel (automated w/ diff),85025,BLUE CROSS - MO (ANTHEM),HIGHMARK BCBS,49.96,169.0,260.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,MRI Knee / Joint,MRI Knee/Joint (w/o & w/ contrast),73723,BLUE CROSS - TN,HIGHMARK BCBS,1847.84,2639.65,4061.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,CT Abdomen & Pelvis,CT Abdomen & Pelvis (w/o & w/ contrast),74178,BLUE CROSS - CO (ANTHEM),HIGHMARK BCBS,1591.78,3892.85,5989.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,MRI Knee / Joint,MRI Knee/Joint (w/o & w/ contrast),73723,BLUE CROSS - PA (INDEPENDENCE) MEDICARE ADVANTAGE,INDEPENDENCE BLUE CROSS MEDICARE ADV,373.65,3959.8,6092.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,CT Chest,CT Chest (w/ contrast),71260,BLUE CROSS - NE,HIGHMARK BCBS,717.57,1577.55,2427.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,CBC Blood Panel,CBC Blood Panel (automated),85027,COVENTRY,COVENTRY ADVANTRA MEDICARE ADVANTAGE,7.76,57.2,88.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,MRI Knee / Joint,MRI Knee/Joint (w/o & w/ contrast),73723,BLUE CROSS - MT,HIGHMARK BCBS,1847.84,2639.65,4061.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,CT Head / Brain,CT Head/Brain (w/o contrast),70450,BLUE CROSS - WI (ANTHEM),HIGHMARK BCBS,424.86,882.05,1357.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,MRI Knee / Joint,MRI Knee/Joint (w/ contrast),73722,BLUE CROSS - MD (CAREFIRST),HIGHMARK BCBS,1532.81,2351.05,3617.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,MRI Knee / Joint,MRI Knee/Joint (w/o contrast),73721,DEVOTED HEALTH MEDICARE ADVANTAGE,DEVOTED HEALTH MEDICARE ADVANTAGE,252.9,2258.75,3475.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,MRI Knee / Joint,MRI Knee/Joint (w/o contrast),73721,BLUE CROSS - AR,HIGHMARK BCBS,892.41,2258.75,3475.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,MRI Abdomen,MRI Abdomen (w/o & w/ contrast),74183,BLUE CROSS - DC (CAREFIRST),HIGHMARK BCBS,1526.64,2434.9,3746.0,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,Chest X-Ray,Chest X-Ray (1 view),71045,BLUE SHIELD - PA (HIGHMARK),HIGHMARK BCBS,6109.14,18779.47,28891.5,outpatient,facility
St. Francis Hospital,Wilmington,DE,701 N. Clayton St,Chest X-Ray,Chest X-Ray (1 view),71045,BLUE CROSS - ID,HIGHMARK BCBS,6109.14,18779.47,28891.5,outpatient,facility
